sex,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,length_of_stay,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,not_recidivist
1,0,0,0,0,0,10,1,0,0,0
1,0,0,0,1,4,1,0,0,1,0
1,1,0,0,0,14,6,1,0,0,0
0,1,0,0,0,0,2,1,0,0,1
1,1,0,0,0,0,1,1,0,0,1
1,0,0,0,0,3,4,0,0,1,0
0,1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,1,0,0,1
0,1,0,0,0,1,14,0,1,0,0
1,0,0,0,0,7,3,1,0,0,0
1,0,0,0,0,3,1,1,0,0,1
1,1,0,0,0,6,1,1,0,0,0
1,1,0,0,0,5,1,1,0,0,0
1,0,0,0,0,13,1,0,1,0,0
1,0,0,0,0,1,3,0,0,1,0
1,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,1,1
1,1,0,0,0,1,1,1,0,0,1
1,0,0,0,0,8,17,1,0,0,0
1,0,0,0,1,5,0,1,0,0,0
1,0,0,0,0,0,37,1,0,0,0
1,1,0,0,0,9,44,1,0,0,0
1,0,0,0,0,4,1,1,0,0,0
1,1,0,0,0,0,2,0,1,0,1
0,1,0,0,0,4,11,1,0,0,0
1,1,0,0,0,1,1,0,0,1,0
1,0,2,1,3,21,33,1,0,0,0
1,1,0,0,0,0,-1,1,0,0,1
0,0,0,0,0,2,79,0,0,1,1
1,0,0,0,0,2,1,0,1,0,1
1,1,0,0,0,2,0,1,0,0,0
0,0,0,0,0,7,1,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,9,6,1,0,0,0
1,0,1,0,4,13,0,1,0,0,0
1,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,1
1,1,0,0,0,1,0,1,0,0,0
1,0,0,0,1,15,135,1,0,0,1
1,0,0,0,0,2,1,0,0,1,0
1,0,0,0,0,4,0,0,1,0,1
1,1,0,0,0,8,13,0,1,0,1
1,0,0,0,0,5,0,1,0,0,1
1,0,1,1,2,15,1,1,0,0,0
1,1,0,0,0,4,1,1,0,0,0
1,0,0,0,1,1,1,0,0,1,0
1,0,0,0,0,4,18,1,0,0,0
1,0,0,1,0,6,30,1,0,0,0
0,0,0,0,0,0,3,0,1,0,1
1,0,0,0,0,1,4,1,0,0,1
1,0,0,0,0,5,1,1,0,0,0
1,1,0,0,1,1,14,1,0,0,0
1,0,0,0,0,2,3,1,0,0,1
1,0,0,0,0,1,16,0,0,1,0
1,1,0,0,0,0,57,0,0,1,1
0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,8,1,1,0,0,0
1,0,1,6,1,14,7,1,0,0,0
1,0,1,0,0,2,30,0,0,1,0
0,0,0,0,0,1,0,1,0,0,1
1,0,0,0,0,9,3,1,0,0,0
1,1,0,0,0,7,0,1,0,0,0
1,1,0,0,0,9,0,1,0,0,0
0,1,0,0,0,0,0,0,0,1,1
1,1,0,0,0,2,-1,1,0,0,0
0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,1,9,0,0,1,0
1,0,0,0,0,1,0,1,0,0,1
0,1,0,0,0,0,1,1,0,0,0
1,1,0,1,2,8,12,0,0,1,0
1,1,0,0,0,0,5,1,0,0,1
1,1,0,0,0,0,38,1,0,0,1
0,1,0,0,0,1,106,1,0,0,1
1,1,0,0,0,1,1,1,0,0,1
1,0,0,0,0,3,6,0,0,1,0
1,1,0,0,0,5,2,1,0,0,0
1,1,0,0,0,0,14,1,0,0,1
1,0,0,0,0,5,0,1,0,0,0
1,0,0,0,0,3,1,1,0,0,1
1,1,0,0,0,1,0,1,0,0,0
1,0,0,1,0,10,176,1,0,0,0
1,0,0,0,0,0,0,0,0,1,0
1,0,0,12,2,28,1,1,0,0,0
1,0,0,0,0,1,1,1,0,0,1
1,1,0,0,0,13,471,1,0,0,0
1,0,0,0,0,3,0,1,0,0,0
1,1,0,0,0,3,0,0,1,0,1
1,0,0,0,0,19,0,1,0,0,0
1,1,0,0,0,6,-1,1,0,0,1
0,1,0,0,0,2,3,1,0,0,1
1,1,0,0,0,1,3,1,0,0,1
1,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,2,0,0,1,1
0,1,0,1,0,10,7,1,0,0,0
1,1,0,0,0,2,-1,1,0,0,0
1,0,0,0,0,3,8,1,0,0,0
1,1,0,0,0,2,15,1,0,0,0
1,0,0,0,0,1,1,1,0,0,1
1,1,0,0,0,1,0,0,1,0,0
0,0,1,0,0,1,2,0,0,1,1
0,1,0,0,0,0,0,1,0,0,1
1,0,1,1,0,9,13,1,0,0,0
1,0,0,0,0,11,1,1,0,0,0
1,0,0,0,0,8,0,1,0,0,0
0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,7,26,1,0,0,0
1,0,0,0,0,2,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,4,6,1,0,0,0
0,0,0,0,0,2,0,1,0,0,0
1,1,1,0,0,1,3,1,0,0,1
0,1,0,0,0,3,530,1,0,0,0
1,0,0,0,0,1,70,1,0,0,1
1,1,0,0,0,2,0,0,1,0,1
1,0,0,0,0,1,0,0,0,1,1
1,1,0,0,0,6,22,0,1,0,0
1,1,0,0,0,0,2,1,0,0,1
1,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,5,1,1,0,0,1
1,0,0,0,0,8,15,0,1,0,1
1,0,0,0,0,6,0,1,0,0,0
1,1,0,0,0,1,0,0,1,0,0
